book	chapter	verse	sort	hebrew	strong	bsb	pnc
DAN	1	1	508997	שָׁל֔וֹשׁ	H7969	In the third	
DAN	1	1	508996	בִּשְׁנַ֣ת	H8141	year	
DAN	1	1	508998	לְמַלְכ֖וּת	H4438	of the reign	
DAN	1	1	508999	יְהוֹיָקִ֣ים	H3079	of Jehoiakim	
DAN	1	1	509000	מֶֽלֶךְ־	H4428	king	
DAN	1	1	509001	יְהוּדָ֑ה	H3063	of Judah	,
DAN	1	1	509003	נְבוּכַדְנֶאצַּ֧ר	H5019	Nebuchadnezzar	
DAN	1	1	509004	מֶֽלֶךְ־	H4428	king	
DAN	1	1	509005	בָּבֶ֛ל	H894	of Babylon	
DAN	1	1	509002	בָּ֣א	H935	came	
DAN	1	1	509006	יְרוּשָׁלִַ֖ם	H3389	to Jerusalem	
DAN	1	1	509007	וַיָּ֥צַר	H6696	and besieged	
DAN	1	1	509008	עָלֶֽיהָ׃	H5921	it	.
DAN	1	2	509020	אֲדֹנָ֨י	H136	And the Lord	
DAN	1	2	509019	וַיִּתֵּן֩	H5414	delivered	
DAN	1	2	509021	בְּיָד֜וֹ	H3027	into his hand	
DAN	1	2	509023	יְהוֹיָקִ֣ים	H3079	Jehoiakim	
DAN	1	2	509024	מֶֽלֶךְ־	H4428	king	
DAN	1	2	509025	יְהוּדָ֗ה	H3063	of Judah	,
DAN	1	2	509022	אֶת־	H853	-	
DAN	1	2	509026	וּמִקְצָת֙	H7117	along with some	
DAN	1	2	509027	כְּלֵ֣י	H3627	of the articles	
DAN	1	2	509028	בֵית־	H1004	from the house	
DAN	1	2	509029	הָֽאֱלֹהִ֔ים	H430	of God	.
DAN	1	2	509030	וַיְבִיאֵ֥ם	H935	He carried [these] off	
DAN	1	2	509031	אֶֽרֶץ־	H776	to the land	
DAN	1	2	509032	שִׁנְעָ֖ר	H8152	of Shinar	,
DAN	1	2	509033	בֵּ֣ית	H1004	to the house	
DAN	1	2	509034	אֱלֹהָ֑יו	H430	of his god	,
DAN	1	2	509035	וְאֶת־	H853	[where]	
DAN	1	2	509037	הֵבִ֔יא	H935	he put	
DAN	1	2	509036	הַכֵּלִ֣ים	H3627	[them]	
DAN	1	2	509038	בֵּ֖ית	H1004	vvv	
DAN	1	2	509039	אוֹצַ֥ר	H214	in the treasury	
DAN	1	2	509040	אֱלֹהָֽיו׃	H430	of his god	.
DAN	1	3	509052	הַמֶּ֔לֶךְ	H4428	Then the king	
DAN	1	3	509051	וַיֹּ֣אמֶר	H559	ordered	
DAN	1	3	509053	לְאַשְׁפְּנַ֖ז	H828	Ashpenaz	,
DAN	1	3	509054	רַ֣ב	H7227	the chief	
DAN	1	3	509055	סָרִיסָ֑יו	H5631	of his court officials	,
DAN	1	3	509056	לְהָבִ֞יא	H935	to bring in	
DAN	1	3	509061	וּמִן־	H4480	some	
DAN	1	3	509057	מִבְּנֵ֧י	H1121	Israelites	
DAN	1	3	509058	יִשְׂרָאֵ֛ל	H3478	. . .	
DAN	1	3	509060	הַמְּלוּכָ֖ה	H4410	from the royal	
DAN	1	3	509059	וּמִזֶּ֥רַע	H2233	family	
DAN	1	3	509062	הַֽפַּרְתְּמִֽים׃	H6579	and the nobility	—
DAN	1	4	509073	יְלָדִ֣ים	H3206	young men	
DAN	1	4	509074	אֲשֶׁ֣ר	H834	-	
DAN	1	4	509075	אֵֽין־	H369	without	
DAN	1	4	509076	בָּהֶ֣ם			
DAN	1	4	509077	כָּל־	H3605	-	
DAN	1	4	509080	מְאוּם	H3971	blemish	,
DAN	1	4	509082	וְטוֹבֵ֨י	H2896	handsome	
DAN	1	4	509083	מַרְאֶ֜ה	H4758	. . .	,
DAN	1	4	509084	וּמַשְׂכִּילִ֣ים	H7919	gifted	
DAN	1	4	509085	בְּכָל־	H3605	in all	
DAN	1	4	509086	חָכְמָ֗ה	H2451	wisdom	,
DAN	1	4	509087	וְיֹ֤דְעֵי	H3045	knowledgeable	
DAN	1	4	509088	דַ֙עַת֙	H1847	. . .	,
DAN	1	4	509090	מַדָּ֔ע	H4093	quick	
DAN	1	4	509089	וּמְבִינֵ֣י	H995	to understand	,
DAN	1	4	509091	וַאֲשֶׁר֙	H834	-	
DAN	1	4	509092	כֹּ֣חַ	H3581	and qualified	
DAN	1	4	509093	בָּהֶ֔ם			
DAN	1	4	509094	לַעֲמֹ֖ד	H5975	to serve	
DAN	1	4	509096	הַמֶּ֑לֶךְ	H4428	in the king’s	
DAN	1	4	509095	בְּהֵיכַ֣ל	H1964	palace	—
DAN	1	4	509097	וּֽלֲלַמְּדָ֥ם	H3925	and to teach them	
DAN	1	4	509099	וּלְשׁ֥וֹן	H3956	the language	
DAN	1	4	509098	סֵ֖פֶר	H5612	and literature	
DAN	1	4	509100	כַּשְׂדִּֽים׃	H3778	of the Chaldeans	.
DAN	1	5	509113	הַמֶּ֜לֶךְ	H4428	The king	
DAN	1	5	509111	וַיְמַן֩	H4487	assigned	
DAN	1	5	509112	לָהֶ֨ם		them	
DAN	1	5	509115	י֣וֹם	H3117	vvv	
DAN	1	5	509116	בְּיוֹמ֗וֹ	H3117	daily	
DAN	1	5	509117	מִפַּת־	H6598		
DAN	1	5	509114	דְּבַר־	H1697	provisions	
DAN	1	5	509119	הַמֶּ֙לֶךְ֙	H4428	of the royal	
DAN	1	5	509118	בַּ֤ג	H6598	food	
DAN	1	5	509120	וּמִיֵּ֣ין	H3196	and wine	
DAN	1	5	509121	מִשְׁתָּ֔יו	H4960	. . .	.
DAN	1	5	509122	וּֽלְגַדְּלָ֖ם	H1431	They were to be trained	
DAN	1	5	509124	שָׁל֑וֹשׁ	H7969	for three	
DAN	1	5	509123	שָׁנִ֣ים	H8141	years	,
DAN	1	5	509125	וּמִ֨קְצָתָ֔ם	H7117	after which	
DAN	1	5	509126	יַֽעַמְד֖וּ	H5975	they were to enter	
DAN	1	5	509127	לִפְנֵ֥י	H6440	. . .	
DAN	1	5	509128	הַמֶּֽלֶךְ׃	H4428	the king’s service	.
DAN	1	6	509140	בָהֶ֖ם		Among these [young men]	
DAN	1	6	509139	וַיְהִ֥י	H1961	were some	
DAN	1	6	509141	מִבְּנֵ֣י	H1121	[from]	
DAN	1	6	509142	יְהוּדָ֑ה	H3063	Judah	:
DAN	1	6	509143	דָּנִיֵּ֣אל	H1841	Daniel	,
DAN	1	6	509144	חֲנַנְיָ֔ה	H2608	Hananiah	,
DAN	1	6	509145	מִֽישָׁאֵ֖ל	H4332	Mishael	,
DAN	1	6	509146	וַעֲזַרְיָֽה׃	H5838	and Azariah	.
DAN	1	7	509159	שַׂ֥ר	H8269	The chief	
DAN	1	7	509160	הַסָּרִיסִ֖ים	H5631	official	
DAN	1	7	509157	וַיָּ֧שֶׂם	H7760	gave them	
DAN	1	7	509158	לָהֶ֛ם		. . .	
DAN	1	7	509161	שֵׁמ֑וֹת	H8034	new names	:
DAN	1	7	509163	לְדָֽנִיֵּ֜אל	H1841	To Daniel	
DAN	1	7	509162	וַיָּ֨שֶׂם	H7760	he gave	
DAN	1	7	509164	בֵּ֣לְטְשַׁאצַּ֗ר	H1095	the name Belteshazzar	;
DAN	1	7	509165	וְלַֽחֲנַנְיָה֙	H2608	to Hananiah	,
DAN	1	7	509166	שַׁדְרַ֔ךְ	H7714	Shadrach	;
DAN	1	7	509167	וּלְמִֽישָׁאֵ֣ל	H4332	to Mishael	,
DAN	1	7	509168	מֵישַׁ֔ךְ	H4335	Meshach	;
DAN	1	7	509169	וְלַעֲזַרְיָ֖ה	H5838	and to Azariah	,
DAN	1	7	509170	עֲבֵ֥ד	H5664	vvv	
DAN	1	7	509171	נְגֽוֹ׃	H5664	Abednego	.
DAN	1	8	509183	דָּנִיֵּאל֙	H1841	But Daniel	
DAN	1	8	509182	וַיָּ֤שֶׂם	H7760	made	
DAN	1	8	509184	עַל־	H5921	up	
DAN	1	8	509185	לִבּ֔וֹ	H3820	his mind	
DAN	1	8	509186	אֲשֶׁ֧ר	H834	that	
DAN	1	8	509187	לֹֽא־	H3808	he would not	
DAN	1	8	509188	יִתְגָּאַ֛ל	H1351	defile himself	
DAN	1	8	509190	הַמֶּ֖לֶךְ	H4428	with the king’s	
DAN	1	8	509189	בְּפַתְבַּ֥ג	H6598	food	
DAN	1	8	509191	וּבְיֵ֣ין	H3196	or wine	
DAN	1	8	509192	מִשְׁתָּ֑יו	H4960	. . .	.
DAN	1	8	509193	וַיְבַקֵּשׁ֙	H1245	So he asked	
DAN	1	8	509194	מִשַּׂ֣ר	H8269	the chief	
DAN	1	8	509195	הַסָּרִיסִ֔ים	H5631	official	
DAN	1	8	509196	אֲשֶׁ֖ר	H834	for permission	
DAN	1	8	509197	לֹ֥א	H3808	not	
DAN	1	8	509198	יִתְגָּאָֽל׃	H1351	to defile himself	.
DAN	1	9	509210	הָֽאֱלֹהִים֙	H430	Now God	
DAN	1	9	509211	אֶת־	H853	-	
DAN	1	9	509209	וַיִּתֵּ֤ן	H5414	had granted	
DAN	1	9	509212	דָּ֣נִיֵּ֔אל	H1841	Daniel	
DAN	1	9	509213	לְחֶ֖סֶד	H2617	favor	
DAN	1	9	509214	וּֽלְרַחֲמִ֑ים	H7356	and compassion	
DAN	1	9	509215	לִפְנֵ֖י	H6440	from	
DAN	1	9	509216	שַׂ֥ר	H8269	the chief	
DAN	1	9	509217	הַסָּרִיסִֽים׃	H5631	official	,
DAN	1	10	509229	שַׂ֤ר	H8269	but he	
DAN	1	10	509230	הַסָּרִיסִים֙	H5631	. . .	
DAN	1	10	509228	וַיֹּ֜אמֶר	H559	said	
DAN	1	10	509231	לְדָ֣נִיֵּ֔אל	H1841	to Daniel	,
DAN	1	10	509233	אֲנִי֙	H589	I	
DAN	1	10	509234	אֶת־	H853	-	
DAN	1	10	509232	יָרֵ֤א	H3373	fear	
DAN	1	10	509235	אֲדֹנִ֣י	H113	my lord	
DAN	1	10	509236	הַמֶּ֔לֶךְ	H4428	the king	,
DAN	1	10	509237	אֲשֶׁ֣ר	H834	who	
DAN	1	10	509238	מִנָּ֔ה	H4487	has assigned	
DAN	1	10	509239	אֶת־	H853	-	
DAN	1	10	509240	מַאֲכַלְכֶ֖ם	H3978	your food	
DAN	1	10	509241	וְאֶת־	H853	-	
DAN	1	10	509242	מִשְׁתֵּיכֶ֑ם	H4960	and drink	.
DAN	1	10	509243	אֲשֶׁ֡ר	H834	For	
DAN	1	10	509244	לָמָּה֩	H4100	why	
DAN	1	10	509245	יִרְאֶ֨ה	H7200	should he see	
DAN	1	10	509246	אֶת־	H853	-	
DAN	1	10	509247	פְּנֵיכֶ֜ם	H6440	your faces	
DAN	1	10	509248	זֹֽעֲפִ֗ים	H2196	looking thinner	
DAN	1	10	509249	מִן־	H4480	than	
DAN	1	10	509250	הַיְלָדִים֙	H3206	those of the other young men	
DAN	1	10	509251	אֲשֶׁ֣ר	H834	-	
DAN	1	10	509252	כְּגִֽילְכֶ֔ם	H1524	your age	?
DAN	1	10	509253	וְחִיַּבְתֶּ֥ם	H2325	You would endanger	
DAN	1	10	509254	אֶת־	H853	-	
DAN	1	10	509255	רֹאשִׁ֖י	H7218	my head	
DAN	1	10	509256	לַמֶּֽלֶךְ׃	H4428	before the king	!
DAN	1	11	509268	דָּנִיֵּ֖אל	H1841	Then Daniel	
DAN	1	11	509267	וַיֹּ֥אמֶר	H559	said	
DAN	1	11	509269	אֶל־	H413	to	
DAN	1	11	509270	הַמֶּלְצַ֑ר	H4453	the steward	
DAN	1	11	509271	אֲשֶׁ֤ר	H834	whom	
DAN	1	11	509273	שַׂ֣ר	H8269	the chief	
DAN	1	11	509274	הַסָּֽרִיסִ֔ים	H5631	official	
DAN	1	11	509272	מִנָּה֙	H4487	had appointed	
DAN	1	11	509275	עַל־	H5921	over	
DAN	1	11	509276	דָּנִיֵּ֣אל	H1841	Daniel	,
DAN	1	11	509277	חֲנַנְיָ֔ה	H2608	Hananiah	,
DAN	1	11	509278	מִֽישָׁאֵ֖ל	H4332	Mishael	,
DAN	1	11	509279	וַעֲזַרְיָֽה׃	H5838	and Azariah	,
DAN	1	12	509291	נָ֥א	H4994	Please	
DAN	1	12	509292	אֶת־	H853	-	
DAN	1	12	509290	נַס־	H5254	test	
DAN	1	12	509293	עֲבָדֶ֖יךָ	H5650	your servants	
DAN	1	12	509295	עֲשָׂרָ֑ה	H6235	for ten	
DAN	1	12	509294	יָמִ֣ים	H3117	days	.
DAN	1	12	509296	וְיִתְּנוּ־	H5414	Let us be given	
DAN	1	12	509297	לָ֜נוּ			
DAN	1	12	509298	מִן־	H4480	only	
DAN	1	12	509299	הַזֵּרֹעִ֛ים	H2235	vegetables	
DAN	1	12	509300	וְנֹאכְלָ֖ה	H398	to eat	
DAN	1	12	509301	וּמַ֥יִם	H4325	and water	
DAN	1	12	509302	וְנִשְׁתֶּֽה׃	H8354	to drink	.
DAN	1	13	509313	וְיֵרָא֤וּ	H7200	Then compare	
DAN	1	13	509314	לְפָנֶ֙יךָ֙	H6440	. . .	
DAN	1	13	509315	מַרְאֵ֔ינוּ	H4758	our appearances	
DAN	1	13	509316	וּמַרְאֵה֙	H4758	with those	
DAN	1	13	509317	הַיְלָדִ֔ים	H3206	of the young men	
DAN	1	13	509318	הָאֹ֣כְלִ֔ים	H398	who are eating	
DAN	1	13	509319	אֵ֖ת	H853	-	
DAN	1	13	509321	הַמֶּ֑לֶךְ	H4428	the royal	
DAN	1	13	509320	פַּתְבַּ֣ג	H6598	food	,
DAN	1	13	509324	עֲשֵׂ֖ה	H6213	and deal	
DAN	1	13	509325	עִם־	H5973	with	
DAN	1	13	509326	עֲבָדֶֽיךָ׃	H5650	your servants	
DAN	1	13	509322	וְכַאֲשֶׁ֣ר	H834	according to what	
DAN	1	13	509323	תִּרְאֵ֔ה	H7200	you see	.
DAN	1	14	509337	וַיִּשְׁמַ֥ע	H8085	So he consented	
DAN	1	14	509338	לָהֶ֖ם			
DAN	1	14	509339	לַדָּבָ֣ר	H1697	vvv	
DAN	1	14	509340	הַזֶּ֑ה	H2088	to this	
DAN	1	14	509341	וַיְנַסֵּ֖ם	H5254	and tested them	
DAN	1	14	509343	עֲשָׂרָֽה׃	H6235	for ten	
DAN	1	14	509342	יָמִ֥ים	H3117	days	.
DAN	1	15	509362	מִן־	H4480	And at	
DAN	1	15	509354	וּמִקְצָת֙	H7117	the end	
DAN	1	15	509356	עֲשָׂרָ֔ה	H6235	of ten	
DAN	1	15	509355	יָמִ֣ים	H3117	days	,
DAN	1	15	509357	נִרְאָ֤ה	H7200	they looked	
DAN	1	15	509358	מַרְאֵיהֶם֙	H4758	. . .	
DAN	1	15	509359	ט֔וֹב	H2896	healthier	
DAN	1	15	509360	וּבְרִיאֵ֖י	H1277	and better nourished	
DAN	1	15	509361	בָּשָׂ֑ר	H1320	. . .	
DAN	1	15	509363	כָּל־	H3605	than all	
DAN	1	15	509364	הַיְלָדִ֔ים	H3206	the young men	
DAN	1	15	509365	הָאֹ֣כְלִ֔ים	H398	who were eating	
DAN	1	15	509366	אֵ֖ת	H853	-	
DAN	1	15	509368	הַמֶּֽלֶךְ׃	H4428	the king’s	
DAN	1	15	509367	פַּתְבַּ֥ג	H6598	food	.
DAN	1	16	509379	וַיְהִ֣י	H1961	So	
DAN	1	16	509380	הַמֶּלְצַ֗ר	H4453	the steward	
DAN	1	16	509381	נֹשֵׂא֙	H5375	continued to withhold	
DAN	1	16	509382	אֶת־	H853	-	
DAN	1	16	509383	פַּתְבָּגָ֔ם	H6598	their choice food	
DAN	1	16	509384	וְיֵ֖ין	H3196	and the wine	
DAN	1	16	509385	מִשְׁתֵּיהֶ֑ם	H4960	they were to drink	,
DAN	1	16	509386	וְנֹתֵ֥ן	H5414	and he gave	
DAN	1	16	509387	לָהֶ֖ם		them	
DAN	1	16	509388	זֵרְעֹנִֽים׃	H2235	vegetables [instead]	.
DAN	1	17	509400	הָאֵ֙לֶּה֙	H428	To these	
DAN	1	17	509401	אַרְבַּעְתָּ֔ם	H702	four	
DAN	1	17	509399	וְהַיְלָדִ֤ים	H3206	young men	
DAN	1	17	509404	הָֽאֱלֹהִ֛ים	H430	God	
DAN	1	17	509402	נָתַ֨ן	H5414	gave	
DAN	1	17	509403	לָהֶ֧ם			
DAN	1	17	509405	מַדָּ֥ע	H4093	knowledge	
DAN	1	17	509406	וְהַשְׂכֵּ֖ל	H7919	and understanding	
DAN	1	17	509407	בְּכָל־	H3605	in every kind	
DAN	1	17	509408	סֵ֣פֶר	H5612	of literature	
DAN	1	17	509409	וְחָכְמָ֑ה	H2451	and wisdom	.
DAN	1	17	509410	וְדָנִיֵּ֣אל	H1841	And Daniel	
DAN	1	17	509411	הֵבִ֔ין	H995	had insight	
DAN	1	17	509412	בְּכָל־	H3605	into all kinds	
DAN	1	17	509413	חָז֖וֹן	H2377	of visions	
DAN	1	17	509414	וַחֲלֹמֽוֹת׃	H2472	and dreams	.
DAN	1	18	509425	וּלְמִקְצָת֙	H7117	Now at the end	
DAN	1	18	509426	הַיָּמִ֔ים	H3117	of the time	
DAN	1	18	509427	אֲשֶׁר־	H834	-	
DAN	1	18	509428	אָמַ֥ר	H559	specified	
DAN	1	18	509429	הַמֶּ֖לֶךְ	H4428	by the king	
DAN	1	18	509430	לַהֲבִיאָ֑ם	H935	-	,
DAN	1	18	509432	שַׂ֣ר	H8269	the chief	
DAN	1	18	509433	הַסָּרִיסִ֔ים	H5631	official	
DAN	1	18	509431	וַיְבִיאֵם֙	H935	presented them	
DAN	1	18	509434	לִפְנֵ֖י	H6440	to	
DAN	1	18	509435	נְבֻכַדְנֶצַּֽר׃	H5019	Nebuchadnezzar	.
DAN	1	19	509448	הַמֶּלֶךְ֒	H4428	And the king	
DAN	1	19	509446	וַיְדַבֵּ֣ר	H1696	spoke with them	,
DAN	1	19	509447	אִתָּם֮	H854	and among	
DAN	1	19	509451	מִכֻּלָּ֔ם	H3605	all [the young men]	
DAN	1	19	509450	נִמְצָא֙	H4672	he found	
DAN	1	19	509449	וְלֹ֤א	H3808	no one	
DAN	1	19	509452	כְּדָנִיֵּ֣אל	H1841	equal to Daniel	,
DAN	1	19	509453	חֲנַנְיָ֔ה	H2608	Hananiah	,
DAN	1	19	509454	מִֽישָׁאֵ֖ל	H4332	Mishael	,
DAN	1	19	509455	וַעֲזַרְיָ֑ה	H5838	and Azariah	.
DAN	1	19	509456	וַיַּֽעַמְד֖וּ	H5975	So they entered	
DAN	1	19	509457	לִפְנֵ֥י	H6440	. . .	
DAN	1	19	509458	הַמֶּֽלֶךְ׃	H4428	the king’s service	.
DAN	1	20	509469	וְכֹ֗ל	H3605	In every	
DAN	1	20	509470	דְּבַר֙	H1697	matter	
DAN	1	20	509471	חָכְמַ֣ת	H2451	of wisdom	
DAN	1	20	509472	בִּינָ֔ה	H998	and understanding	
DAN	1	20	509473	אֲשֶׁר־	H834	about which	
DAN	1	20	509476	הַמֶּ֑לֶךְ	H4428	the king	
DAN	1	20	509474	בִּקֵּ֥שׁ	H1245	consulted	
DAN	1	20	509475	מֵהֶ֖ם		them	,
DAN	1	20	509477	וַֽיִּמְצָאֵ֞ם	H4672	he found them	
DAN	1	20	509478	עֶ֣שֶׂר	H6235	ten	
DAN	1	20	509479	יָד֗וֹת	H3027	times	
DAN	1	20	509480	עַ֤ל	H5921	better than	
DAN	1	20	509481	כָּל־	H3605	all	
DAN	1	20	509483	הָֽאַשָּׁפִ֔ים	H825	the magicians	
DAN	1	20	509484	אֲשֶׁ֖ר	H834	-	
DAN	1	20	509482	הַֽחַרְטֻמִּים֙	H2748	and enchanters	
DAN	1	20	509485	בְּכָל־	H3605	in his entire	
DAN	1	20	509486	מַלְכוּתֽוֹ׃	H4438	kingdom	.
DAN	1	21	509498	דָּֽנִיֵּ֔אל	H1841	And Daniel	
DAN	1	21	509497	וַֽיְהִי֙	H1961	remained	
DAN	1	21	509499	עַד־	H5704	there until	
DAN	1	21	509501	אַחַ֖ת	H259	the first	
DAN	1	21	509500	שְׁנַ֥ת	H8141	year	
DAN	1	21	509503	הַמֶּֽלֶךְ׃פ	H4428	of King	
DAN	1	21	509502	לְכ֥וֹרֶשׁ	H3566	Cyrus	.
DAN	2	1	509516	שְׁתַּ֗יִם	H8147	In the second	
DAN	2	1	509515	וּבִשְׁנַ֣ת	H8141	year	
DAN	2	1	509518	נְבֻֽכַדְנֶצַּ֔ר	H5019	of his	
DAN	2	1	509517	לְמַלְכוּת֙	H4438	reign	,
DAN	2	1	509520	נְבֻֽכַדְנֶצַּ֖ר	H5019	Nebuchadnezzar	
DAN	2	1	509519	חָלַ֥ם	H2492	had dreams	
DAN	2	1	509521	חֲלֹמ֑וֹת	H2472	. . .	
DAN	2	1	509522	וַתִּתְפָּ֣עֶם	H6470	that troubled	
DAN	2	1	509523	רוּח֔וֹ	H7307	his spirit	,
DAN	2	1	509524	וּשְׁנָת֖וֹ	H8142	and sleep	
DAN	2	1	509525	נִהְיְתָ֥ה	H1961	escaped	
DAN	2	1	509526	עָלָֽיו׃	H5921	him	.
DAN	2	2	509538	הַ֠מֶּלֶךְ	H4428	So the king	
DAN	2	2	509537	וַיֹּ֣אמֶר	H559	gave orders	
DAN	2	2	509539	לִקְרֹ֨א	H7121	to summon	
DAN	2	2	509541	וְלָֽאַשָּׁפִ֗ים	H825	the magicians	,
DAN	2	2	509540	לַֽחַרְטֻמִּ֜ים	H2748	enchanters	,
DAN	2	2	509542	וְלַֽמְכַשְּׁפִים֙	H3784	sorcerers	,
DAN	2	2	509543	וְלַכַּשְׂדִּ֔ים	H3778	and astrologers	
DAN	2	2	509544	לְהַגִּ֥יד	H5046	to explain	
DAN	2	2	509545	לַמֶּ֖לֶךְ	H4428	-	
DAN	2	2	509546	חֲלֹמֹתָ֑יו	H2472	his dreams	.
DAN	2	2	509547	וַיָּבֹ֕אוּ	H935	When they came	
DAN	2	2	509548	וַיַּֽעַמְד֖וּ	H5975	and stood	
DAN	2	2	509549	לִפְנֵ֥י	H6440	before	
DAN	2	2	509550	הַמֶּֽלֶךְ׃	H4428	the king	,
DAN	2	3	509563	הַמֶּ֖לֶךְ	H4428	he	
DAN	2	3	509561	וַיֹּ֧אמֶר	H559	said to them	,
DAN	2	3	509562	לָהֶ֛ם		. . .	
DAN	2	3	509564	חֲל֣וֹם	H2472	I have had a dream	
DAN	2	3	509565	חָלָ֑מְתִּי	H2492	. . .	,
DAN	2	3	509567	רוּחִ֔י	H7307	and my spirit	
DAN	2	3	509566	וַתִּפָּ֣עֶם	H6470	is anxious	
DAN	2	3	509568	לָדַ֖עַת	H3045	to understand	
DAN	2	3	509569	אֶֽת־	H853	-	
DAN	2	3	509570	הַחֲלֽוֹם׃	H2472	it	.
DAN	2	4	509582	הַכַּשְׂדִּ֛ים	H3778	Then the astrologers	
DAN	2	4	509581	וַֽיְדַבְּר֧וּ	H1696	answered	
DAN	2	4	509583	לַמֶּ֖לֶךְ	H4428	the king	
DAN	2	4	509584	אֲרָמִ֑ית	H762	in Aramaic	,
DAN	8	1	515534	שָׁל֔וֹשׁ	H7969	In the third	
DAN	8	1	515533	בִּשְׁנַ֣ת	H8141	year	
DAN	8	1	515535	לְמַלְכ֖וּת	H4438	of the reign	
DAN	8	1	515537	הַמֶּ֑לֶךְ	H4428	of King	
DAN	8	1	515536	בֵּלְאשַׁצַּ֣ר	H1112	Belshazzar	,
DAN	8	1	515538	חָז֞וֹן	H2377	a vision	
DAN	8	1	515539	נִרְאָ֤ה	H7200	appeared	
DAN	8	1	515540	אֵלַי֙	H413	to me	,
DAN	8	1	515541	אֲנִ֣י	H589	. . .	
DAN	8	1	515542	דָנִיֵּ֔אל	H1841	Daniel	,
DAN	8	1	515543	אַחֲרֵ֛י	H310	subsequent	
DAN	8	1	515544	הַנִּרְאָ֥ה	H7200	to the one that had appeared	
DAN	8	1	515545	אֵלַ֖י	H413	to me	
DAN	8	1	515546	בַּתְּחִלָּֽה׃	H8462	earlier	.
DAN	8	2	515558	בֶּחָזוֹן֒	H2377	And in the vision	
DAN	8	2	515557	וָֽאֶרְאֶה֮	H7200	I saw	
DAN	8	2	515559	וַיְהִי֙	H1961		
DAN	8	2	515560	בִּרְאֹתִ֔י	H7200		
DAN	8	2	515561	וַאֲנִי֙	H589	myself	
DAN	8	2	515563	הַבִּירָ֔ה	H1002	in the citadel	
DAN	8	2	515564	אֲשֶׁ֖ר	H834	-	
DAN	8	2	515562	בְּשׁוּשַׁ֣ן	H7800	of Susa	,
DAN	8	2	515566	הַמְּדִינָ֑ה	H4082	in the province	
DAN	8	2	515565	בְּעֵילָ֣ם	H5867	of Elam	.
DAN	8	2	515567	וָאֶרְאֶה֙	H7200	I saw	
DAN	8	2	515568	בֶּֽחָז֔וֹן	H2377	in the vision	
DAN	8	2	515569	וַאֲנִ֥י	H589	that I	
DAN	8	2	515570	הָיִ֖יתִי	H1961	was	
DAN	8	2	515571	עַל־	H5921	beside	
DAN	8	2	515573	אוּלָֽי׃	H195	the Ulai	
DAN	8	2	515572	אוּבַ֥ל	H180	Canal	.
DAN	8	3	515584	וָאֶשָּׂ֤א	H5375	Then I lifted up	
DAN	8	3	515585	עֵינַי֙	H5869	my eyes	
DAN	8	3	515586	וָאֶרְאֶ֔ה	H7200	and saw	
DAN	8	3	515587	וְהִנֵּ֣ה׀	H2009	-	
DAN	8	3	515589	אֶחָ֗ד	H259	-	
DAN	8	3	515588	אַ֣יִל	H352	a ram	
DAN	8	3	515593	וְל֣וֹ		with	
DAN	8	3	515594	קְרָנָ֑יִם	H7161	two horns	
DAN	8	3	515590	עֹמֵ֛ד	H5975	standing	
DAN	8	3	515591	לִפְנֵ֥י	H6440	beside	
DAN	8	3	515592	הָאֻבָ֖ל	H180	the canal	.
DAN	8	3	515595	וְהַקְּרָנַ֣יִם	H7161	The horns	
DAN	8	3	515596	גְּבֹה֗וֹת	H1364	were long	,
DAN	8	3	515597	וְהָאַחַת֙	H259	but one	
DAN	8	3	515598	גְּבֹהָ֣ה	H1364	was longer	
DAN	8	3	515599	מִן־	H4480	than	
DAN	8	3	515600	הַשֵּׁנִ֔ית	H8145	the other	,
DAN	8	3	515601	וְהַ֨גְּבֹהָ֔ה	H1364	and the longer	
DAN	8	3	515602	עֹלָ֖ה	H5927	one grew up	
DAN	8	3	515603	בָּאַחֲרֹנָֽה׃	H314	later	.
DAN	8	4	515614	רָאִ֣יתִי	H7200	I saw	
DAN	8	4	515615	אֶת־	H853	-	
DAN	8	4	515616	הָאַ֡יִל	H352	the ram	
DAN	8	4	515617	מְנַגֵּחַ֩	H5055	charging	
DAN	8	4	515618	יָ֨מָּה	H3220	toward the west	
DAN	8	4	515619	וְצָפ֜וֹנָה	H6828	and the north	
DAN	8	4	515620	וָנֶ֗גְבָּה	H5045	and the south	.
DAN	8	4	515621	וְכָל־	H3605	No	
DAN	8	4	515623	לֹֽא־	H3808	. . .	
DAN	8	4	515622	חַיּוֹת֙	H2416	animal	
DAN	8	4	515624	יַֽעַמְד֣וּ	H5975	could stand	
DAN	8	4	515625	לְפָנָ֔יו	H6440	against him	,
DAN	8	4	515626	וְאֵ֥ין	H369	and there was no	
DAN	8	4	515627	מַצִּ֖יל	H5337	deliverance	
DAN	8	4	515628	מִיָּד֑וֹ	H3027	from his power	.
DAN	8	4	515629	וְעָשָׂ֥ה	H6213	He did	
DAN	8	4	515630	כִרְצֹנ֖וֹ	H7522	as he pleased	
DAN	8	4	515631	וְהִגְדִּֽיל׃	H1431	and became great	.
DAN	8	5	515642	וַאֲנִ֣י׀	H589	As I	
DAN	8	5	515643	הָיִ֣יתִי	H1961	was	
DAN	8	5	515644	מֵבִ֗ין	H995	contemplating all this	,
DAN	8	5	515645	וְהִנֵּ֤ה	H2009	suddenly	
