book	chapter	verse	sort	hebrew	strong	bsb	pnc
NUM	1	1	85797	בְּאֶחָד֩	H259	On the first	
NUM	1	1	85799	הַשֵּׁנִ֜י	H8145	day of the second	
NUM	1	1	85798	לַחֹ֨דֶשׁ	H2320	month	
NUM	1	1	85801	הַשֵּׁנִ֗ית	H8145	of the second	
NUM	1	1	85800	בַּשָּׁנָ֣ה	H8141	year	
NUM	1	1	85802	לְצֵאתָ֛ם	H3318	after [the Israelites] had come out	
NUM	1	1	85803	מֵאֶ֥רֶץ	H776	of the land	
NUM	1	1	85804	מִצְרַ֖יִם	H4714	of Egypt	,
NUM	1	1	85790	יְהוָ֧ה	H3068	the LORD	
NUM	1	1	85789	וַיְדַבֵּ֨ר	H1696	spoke	
NUM	1	1	85791	אֶל־	H413	to	
NUM	1	1	85792	מֹשֶׁ֛ה	H4872	Moses	
NUM	1	1	85795	בְּאֹ֣הֶל	H168	in the Tent	
NUM	1	1	85796	מוֹעֵ֑ד	H4150	of Meeting	
NUM	1	1	85793	בְּמִדְבַּ֥ר	H4057	in the Wilderness	
NUM	1	1	85794	סִינַ֖י	H5514	of Sinai	.
NUM	1	1	85805	לֵאמֹֽר׃	H559	He said	:
NUM	1	2	85816	שְׂא֗וּ	H5375	Take a census	
NUM	1	2	85817	אֶת־	H853	-	
NUM	1	2	85818	רֹאשׁ֙	H7218	-	
NUM	1	2	85819	כָּל־	H3605	of the whole	
NUM	1	2	85820	עֲדַ֣ת	H5712	congregation	
NUM	1	2	85821	בְּנֵֽי־	H1121	. . .	
NUM	1	2	85822	יִשְׂרָאֵ֔ל	H3478	of Israel	
NUM	1	2	85823	לְמִשְׁפְּחֹתָ֖ם	H4940	by their clans	
NUM	1	2	85825	אֲבֹתָ֑ם	H1	and families	
NUM	1	2	85824	לְבֵ֣ית	H1004	. . .	,
NUM	1	2	85826	בְּמִסְפַּ֣ר	H4557	listing	
NUM	1	2	85828	כָּל־	H3605	every	
NUM	1	2	85829	זָכָ֖ר	H2145	man	
NUM	1	2	85827	שֵׁמ֔וֹת	H8034	by name	,
NUM	1	2	85830	לְגֻלְגְּלֹתָֽם׃	H1538	one by one	.
NUM	1	3	85852	אַתָּ֥ה	H859	You	
NUM	1	3	85853	וְאַהֲרֹֽן׃	H175	and Aaron	
NUM	1	3	85849	תִּפְקְד֥וּ	H6485	are to number	
NUM	1	3	85850	אֹתָ֛ם	H853	those	
NUM	1	3	85842	עֶשְׂרִ֤ים	H6242	who are twenty	
NUM	1	3	85841	מִבֶּ֨ן	H1121	years of age	
NUM	1	3	85843	שָׁנָה֙	H8141	. . .	
NUM	1	3	85844	וָמַ֔עְלָה	H4605	or older	
NUM	1	3	85847	צָבָ֖א	H6635	by their divisions	—
NUM	1	3	85845	כָּל־	H3605	everyone	
NUM	1	3	85846	יֹצֵ֥א	H3318	who can serve	
NUM	1	3	85848	בְּיִשְׂרָאֵ֑ל	H3478	in Israel’s	
NUM	1	3	85851	לְצִבְאֹתָ֖ם	H6635	army	.
NUM	1	4	85866	אִ֥ישׁ	H376	And one man	
NUM	1	4	85867	אִ֖ישׁ	H376	. . .	
NUM	1	4	85868	לַמַּטֶּ֑ה	H4294	from each tribe	,
NUM	1	4	85869	אִ֛ישׁ	H376	-	
NUM	1	4	85870	רֹ֥אשׁ	H7218	the head	
NUM	1	4	85872	אֲבֹתָ֖יו	H1	of each family	
NUM	1	4	85873	הֽוּא׃	H1931	. . .	
NUM	1	4	85871	לְבֵית־	H1004	. . .	,
NUM	1	4	85865	יִהְי֔וּ	H1961	must be there	
NUM	1	4	85864	וְאִתְּכֶ֣ם	H854	with you	.
NUM	1	5	85884	וְאֵ֙לֶּה֙	H428	These	
NUM	1	5	85885	שְׁמ֣וֹת	H8034	are the names	
NUM	1	5	85886	הָֽאֲנָשִׁ֔ים	H582	of the men	
NUM	1	5	85887	אֲשֶׁ֥ר	H834	who	
NUM	1	5	85888	יַֽעַמְד֖וּ	H5975	are to assist	
NUM	1	5	85889	אִתְּכֶ֑ם	H854	you	:
NUM	1	5	85890	לִרְאוּבֵ֕ן	H7205	From [the tribe of] Reuben	,
NUM	1	5	85891	אֱלִיצ֖וּר	H468	Elizur	
NUM	1	5	85892	בֶּן־	H1121	son	
NUM	1	5	85893	שְׁדֵיאֽוּר׃	H7707	of Shedeur	;
NUM	1	6	85904	לְשִׁמְע֕וֹן	H8095	from Simeon	,
NUM	1	6	85905	שְׁלֻמִיאֵ֖ל	H8017	Shelumiel	
NUM	1	6	85906	בֶּן־	H1121	son	
NUM	1	6	85907	צוּרִֽישַׁדָּֽי׃	H6701	of Zurishaddai	;
NUM	1	7	85918	לִֽיהוּדָ֕ה	H3063	from Judah	,
NUM	1	7	85919	נַחְשׁ֖וֹן	H5177	Nahshon	
NUM	1	7	85920	בֶּן־	H1121	son	
NUM	1	7	85921	עַמִּינָדָֽב׃	H5992	of Amminadab	;
NUM	1	8	85932	לְיִ֨שָּׂשכָ֔ר	H3485	from Issachar	,
NUM	1	8	85933	נְתַנְאֵ֖ל	H5417	Nethanel	
NUM	1	8	85934	בֶּן־	H1121	son	
NUM	1	8	85935	צוּעָֽר׃	H6686	of Zuar	;
NUM	1	9	85946	לִזְבוּלֻ֕ן	H2074	from Zebulun	,
NUM	1	9	85947	אֱלִיאָ֖ב	H446	Eliab	
NUM	1	9	85948	בֶּן־	H1121	son	
NUM	1	9	85949	חֵלֹֽן׃	H2497	of Helon	;
NUM	1	10	85960	לִבְנֵ֣י	H1121	from the sons	
NUM	1	10	85961	יוֹסֵ֔ף	H3130	of Joseph	:
NUM	1	10	85962	לְאֶפְרַ֕יִם	H669	from Ephraim	,
NUM	1	10	85963	אֱלִישָׁמָ֖ע	H476	Elishama	
NUM	1	10	85964	בֶּן־	H1121	son	
NUM	1	10	85965	עַמִּיה֑וּד	H5989	of Ammihud	,
NUM	1	10	85966	לִמְנַשֶּׁ֕ה	H4519	and from Manasseh	,
NUM	1	10	85967	גַּמְלִיאֵ֖ל	H1583	Gamaliel	
NUM	1	10	85968	בֶּן־	H1121	son	
NUM	1	10	85969	פְּדָהצֽוּר׃	H6301	of Pedahzur	;
NUM	1	11	85980	לְבִ֨נְיָמִ֔ן	H1144	from Benjamin	,
NUM	1	11	85981	אֲבִידָ֖ן	H27	Abidan	
NUM	1	11	85982	בֶּן־	H1121	son	
NUM	1	11	85983	גִּדְעֹנִֽי׃	H1441	of Gideoni	;
NUM	1	12	85994	לְדָ֕ן	H1835	from Dan	,
NUM	1	12	85995	אֲחִיעֶ֖זֶר	H295	Ahiezer	
NUM	1	12	85996	בֶּן־	H1121	son	
NUM	1	12	85997	עַמִּֽישַׁדָּֽי׃	H5996	of Ammishaddai	;
NUM	1	13	86008	לְאָשֵׁ֕ר	H836	from Asher	,
NUM	1	13	86009	פַּגְעִיאֵ֖ל	H6295	Pagiel	
NUM	1	13	86010	בֶּן־	H1121	son	
NUM	1	13	86011	עָכְרָֽן׃	H5918	of Ocran	;
NUM	1	14	86022	לְגָ֕ד	H1410	from Gad	,
NUM	1	14	86023	אֶלְיָסָ֖ף	H460	Eliasaph	
NUM	1	14	86024	בֶּן־	H1121	son	
NUM	1	14	86025	דְּעוּאֵֽל׃	H1845	of Deuel	;
NUM	1	15	86036	לְנַ֨פְתָּלִ֔י	H5321	[and] from Naphtali	,
NUM	1	15	86037	אֲחִירַ֖ע	H299	Ahira	
NUM	1	15	86038	בֶּן־	H1121	son	
NUM	1	15	86039	עֵינָֽן׃	H5881	of Enan	.
NUM	1	16	86050	אֵ֚לֶּה	H428	These men	
NUM	1	16	86053	קְרִיאֵי	H7148	were appointed	
NUM	1	16	86055	הָעֵדָ֔ה	H5712	from the congregation	;
NUM	1	16	86062	הֵֽם׃	H1992	they [were]	
NUM	1	16	86056	נְשִׂיאֵ֖י	H5387	the leaders	
NUM	1	16	86057	מַטּ֣וֹת	H4294	of the tribes	
NUM	1	16	86058	אֲבוֹתָ֑ם	H1	of their fathers	,
NUM	1	16	86059	רָאשֵׁ֛י	H7218	the heads	
NUM	1	16	86060	אַלְפֵ֥י	H505	of the clans	
NUM	1	16	86061	יִשְׂרָאֵ֖ל	H3478	of Israel	.
NUM	1	17	86074	מֹשֶׁ֖ה	H4872	So Moses	
NUM	1	17	86075	וְאַהֲרֹ֑ן	H175	and Aaron	
NUM	1	17	86076	אֵ֚ת	H853	-	
NUM	1	17	86077	הָאֲנָשִׁ֣ים	H582	-	
NUM	1	17	86073	וַיִּקַּ֥ח	H3947	took	
NUM	1	17	86078	הָאֵ֔לֶּה	H428	these men	
NUM	1	17	86079	אֲשֶׁ֥ר	H834	who	
NUM	1	17	86080	נִקְּב֖וּ	H5344	had been designated	
NUM	1	17	86081	בְּשֵׁמֽוֹת׃	H8034	by name	,
NUM	1	18	86092	וְאֵ֨ת	H853	and	
NUM	1	18	86096	בְּאֶחָד֙	H259	on the first	
NUM	1	18	86098	הַשֵּׁנִ֔י	H8145	day of the second	
NUM	1	18	86097	לַחֹ֣דֶשׁ	H2320	month	
NUM	1	18	86095	הִקְהִ֗ילוּ	H6950	they assembled	
NUM	1	18	86093	כָּל־	H3605	the whole	
NUM	1	18	86094	הָעֵדָ֜ה	H5712	congregation	
NUM	1	18	86099	וַיִּתְיַֽלְד֥וּ	H3205	and recorded their ancestry	
NUM	1	18	86100	עַל־	H5921	by	
NUM	1	18	86101	מִשְׁפְּחֹתָ֖ם	H4940	clans	
NUM	1	18	86103	אֲבֹתָ֑ם	H1	and families	
NUM	1	18	86102	לְבֵ֣ית	H1004	. . .	,
NUM	1	18	86104	בְּמִסְפַּ֣ר	H4557	counting	
NUM	1	18	86110	לְגֻלְגְּלֹתָֽם׃	H1538	one by one	
NUM	1	18	86105	שֵׁמ֗וֹת	H8034	the names	
NUM	1	18	86107	עֶשְׂרִ֥ים	H6242	of those twenty	
NUM	1	18	86106	מִבֶּ֨ן	H1121	years of age	
NUM	1	18	86108	שָׁנָ֛ה	H8141	. . .	
NUM	1	18	86109	וָמַ֖עְלָה	H4605	or older	,
NUM	1	19	86121	כַּאֲשֶׁ֛ר	H834	just as	
NUM	1	19	86123	יְהוָ֖ה	H3068	the LORD	
NUM	1	19	86124	אֶת־	H853	-	
NUM	1	19	86122	צִוָּ֥ה	H6680	had commanded	
NUM	1	19	86125	מֹשֶׁ֑ה	H4872	Moses	.
NUM	1	19	86126	וַֽיִּפְקְדֵ֖ם	H6485	So [Moses] numbered them	
NUM	1	19	86127	בְּמִדְבַּ֥ר	H4057	in the Wilderness	
NUM	1	19	86128	סִינָֽי׃פ	H5514	of Sinai	:
NUM	1	20	86140	וַיִּהְי֤וּ	H1961	-	
NUM	1	20	86141	בְנֵֽי־	H1121	From the sons	
NUM	1	20	86142	רְאוּבֵן֙	H7205	of Reuben	,
NUM	1	20	86143	בְּכֹ֣ר	H1060	the firstborn	
NUM	1	20	86144	יִשְׂרָאֵ֔ל	H3478	of Israel	,
NUM	1	20	86145	תּוֹלְדֹתָ֥ם	H8435	according to the records	
NUM	1	20	86146	לְמִשְׁפְּחֹתָ֖ם	H4940	of their clans	
NUM	1	20	86148	אֲבֹתָ֑ם	H1	and families	
NUM	1	20	86147	לְבֵ֣ית	H1004	. . .	,
NUM	1	20	86149	בְּמִסְפַּ֤ר	H4557	counting	
NUM	1	20	86151	לְגֻלְגְּלֹתָ֔ם	H1538	one	
NUM	1	20	86150	שֵׁמוֹת֙	H8034	by one the names	
NUM	1	20	86152	כָּל־	H3605	of every	
NUM	1	20	86153	זָכָ֗ר	H2145	male	
NUM	1	20	86155	עֶשְׂרִ֤ים	H6242	twenty	
NUM	1	20	86154	מִבֶּ֨ן	H1121	years of age	
NUM	1	20	86156	שָׁנָה֙	H8141	. . .	
NUM	1	20	86157	וָמַ֔עְלָה	H4605	or older	
NUM	1	20	86158	כֹּ֖ל	H3605	-	
NUM	1	20	86159	יֹצֵ֥א	H3318	who could serve	
NUM	1	20	86160	צָבָֽא׃	H6635	in the army	,
NUM	1	21	86171	פְּקֻדֵיהֶ֖ם	H6485	those registered	
NUM	1	21	86172	לְמַטֵּ֣ה	H4294	to the tribe	
NUM	1	21	86173	רְאוּבֵ֑ן	H7205	of Reuben	
NUM	1	21	86174	שִׁשָּׁ֧ה	H8337	numbered 46,500	
NUM	1	21	86175	וְאַרְבָּעִ֛ים	H705	. . .	
NUM	1	21	86176	אֶ֖לֶף	H505	. . .	
NUM	1	21	86177	וַחֲמֵ֥שׁ	H2568	. . .	
NUM	1	21	86178	מֵאֽוֹת׃פ	H3967	. . .	.
NUM	1	22	86190	לִבְנֵ֣י	H1121	From the sons	
NUM	1	22	86191	שִׁמְע֔וֹן	H8095	of Simeon	,
NUM	1	22	86192	תּוֹלְדֹתָ֥ם	H8435	according to the records	
NUM	1	22	86193	לְמִשְׁפְּחֹתָ֖ם	H4940	of their clans	
NUM	1	22	86195	אֲבֹתָ֑ם	H1	and families	
NUM	1	22	86194	לְבֵ֣ית	H1004	. . .	,
NUM	1	22	86196	פְּקֻדָ֗יו	H6485	vvv	
NUM	1	22	86197	בְּמִסְפַּ֤ר	H4557	counting	
NUM	1	22	86199	לְגֻלְגְּלֹתָ֔ם	H1538	one by one	
NUM	1	22	86198	שֵׁמוֹת֙	H8034	the names	
NUM	1	22	86200	כָּל־	H3605	of every	
NUM	1	22	86201	זָכָ֗ר	H2145	male	
NUM	1	22	86203	עֶשְׂרִ֤ים	H6242	twenty	
NUM	1	22	86202	מִבֶּ֨ן	H1121	years of age	
NUM	1	22	86204	שָׁנָה֙	H8141	. . .	
NUM	1	22	86205	וָמַ֔עְלָה	H4605	or older	
NUM	1	22	86206	כֹּ֖ל	H3605	-	
NUM	1	22	86207	יֹצֵ֥א	H3318	who could serve	
NUM	1	22	86208	צָבָֽא׃	H6635	in the army	,
NUM	1	23	86219	פְּקֻדֵיהֶ֖ם	H6485	those registered	
NUM	1	23	86220	לְמַטֵּ֣ה	H4294	to the tribe	
NUM	1	23	86221	שִׁמְע֑וֹן	H8095	of Simeon	
NUM	1	23	86222	תִּשְׁעָ֧ה	H8672	numbered 59,300	
NUM	1	23	86223	וַחֲמִשִּׁ֛ים	H2572	. . .	
NUM	1	23	86224	אֶ֖לֶף	H505	. . .	
NUM	1	23	86225	וּשְׁלֹ֥שׁ	H7969	. . .	
NUM	1	23	86226	מֵאֽוֹת׃פ	H3967	. . .	.
NUM	1	24	86238	לִבְנֵ֣י	H1121	From the sons	
NUM	1	24	86239	גָ֔ד	H1410	of Gad	,
NUM	1	24	86240	תּוֹלְדֹתָ֥ם	H8435	according to the records	
NUM	1	24	86241	לְמִשְׁפְּחֹתָ֖ם	H4940	of their clans	
NUM	1	24	86243	אֲבֹתָ֑ם	H1	and families	
NUM	1	24	86242	לְבֵ֣ית	H1004	. . .	,
NUM	1	24	86244	בְּמִסְפַּ֣ר	H4557	counting	
NUM	1	24	86245	שֵׁמ֗וֹת	H8034	the names	
NUM	1	24	86250	כֹּ֖ל	H3605	of all those	
NUM	1	24	86247	עֶשְׂרִ֤ים	H6242	twenty	
NUM	1	24	86246	מִבֶּ֨ן	H1121	years of age	
NUM	1	24	86248	שָׁנָה֙	H8141	. . .	
NUM	1	24	86249	וָמַ֔עְלָה	H4605	or older	
NUM	1	24	86251	יֹצֵ֥א	H3318	who could serve	
NUM	1	24	86252	צָבָֽא׃	H6635	in the army	,
NUM	1	25	86263	פְּקֻדֵיהֶ֖ם	H6485	those registered	
NUM	1	25	86264	לְמַטֵּ֣ה	H4294	to the tribe	
NUM	1	25	86265	גָ֑ד	H1410	of Gad	
NUM	1	25	86266	חֲמִשָּׁ֤ה	H2568	numbered 45,650	
NUM	1	25	86267	וְאַרְבָּעִים֙	H705	. . .	
NUM	1	25	86268	אֶ֔לֶף	H505	. . .	
NUM	1	25	86269	וְשֵׁ֥שׁ	H8337	. . .	
NUM	1	25	86270	מֵא֖וֹת	H3967	. . .	
NUM	1	25	86271	וַחֲמִשִּֽׁים׃פ	H2572	. . .	.
NUM	1	26	86283	לִבְנֵ֣י	H1121	From the sons	
NUM	1	26	86284	יְהוּדָ֔ה	H3063	of Judah	,
NUM	1	26	86285	תּוֹלְדֹתָ֥ם	H8435	according to the records	
NUM	1	26	86286	לְמִשְׁפְּחֹתָ֖ם	H4940	of their clans	
NUM	1	26	86288	אֲבֹתָ֑ם	H1	and families	
NUM	1	26	86287	לְבֵ֣ית	H1004	. . .	,
NUM	1	26	86289	בְּמִסְפַּ֣ר	H4557	counting	
NUM	1	26	86290	שֵׁמֹ֗ת	H8034	the names	
NUM	1	26	86295	כֹּ֖ל	H3605	of all those	
NUM	1	26	86292	עֶשְׂרִ֤ים	H6242	twenty	
NUM	1	26	86291	מִבֶּ֨ן	H1121	years of age	
NUM	1	26	86293	שָׁנָה֙	H8141	. . .	
NUM	1	26	86294	וָמַ֔עְלָה	H4605	or older	
NUM	1	26	86296	יֹצֵ֥א	H3318	who could serve	
NUM	1	26	86297	צָבָֽא׃	H6635	in the army	,
NUM	1	27	86308	פְּקֻדֵיהֶ֖ם	H6485	those registered	
NUM	1	27	86309	לְמַטֵּ֣ה	H4294	to the tribe	
NUM	1	27	86310	יְהוּדָ֑ה	H3063	of Judah	
NUM	1	27	86311	אַרְבָּעָ֧ה	H702	numbered 74,600	
NUM	1	27	86312	וְשִׁבְעִ֛ים	H7657	. . .	
NUM	1	27	86313	אֶ֖לֶף	H505	. . .	
NUM	1	27	86314	וְשֵׁ֥שׁ	H8337	. . .	
NUM	1	27	86315	מֵאֽוֹת׃פ	H3967	. . .	.
NUM	1	28	86327	לִבְנֵ֣י	H1121	From the sons	
NUM	1	28	86328	יִשָּׂשכָ֔ר	H3485	of Issachar	,
NUM	1	28	86329	תּוֹלְדֹתָ֥ם	H8435	according to the records	
NUM	1	28	86330	לְמִשְׁפְּחֹתָ֖ם	H4940	of their clans	
NUM	1	28	86332	אֲבֹתָ֑ם	H1	and families	
NUM	1	28	86331	לְבֵ֣ית	H1004	. . .	,
NUM	1	28	86333	בְּמִסְפַּ֣ר	H4557	counting	
NUM	1	28	86334	שֵׁמֹ֗ת	H8034	the names	
NUM	1	28	86339	כֹּ֖ל	H3605	of all those	
NUM	1	28	86336	עֶשְׂרִ֤ים	H6242	twenty	
NUM	1	28	86335	מִבֶּ֨ן	H1121	years of age	
NUM	1	28	86337	שָׁנָה֙	H8141	. . .	
NUM	1	28	86338	וָמַ֔עְלָה	H4605	or older	
NUM	1	28	86340	יֹצֵ֥א	H3318	who could serve	
NUM	1	28	86341	צָבָֽא׃	H6635	in the army	,
NUM	1	29	86352	פְּקֻדֵיהֶ֖ם	H6485	those registered	
NUM	1	29	86353	לְמַטֵּ֣ה	H4294	to the tribe	
NUM	1	29	86354	יִשָּׂשכָ֑ר	H3485	of Issachar	
NUM	1	29	86355	אַרְבָּעָ֧ה	H702	numbered 54,400	
NUM	1	29	86356	וַחֲמִשִּׁ֛ים	H2572	. . .	
NUM	1	29	86357	אֶ֖לֶף	H505	. . .	
NUM	1	29	86358	וְאַרְבַּ֥ע	H702	. . .	
NUM	1	29	86359	מֵאֽוֹת׃פ	H3967	. . .	.
NUM	1	30	86371	לִבְנֵ֣י	H1121	From the sons	
NUM	1	30	86372	זְבוּלֻ֔ן	H2074	of Zebulun	,
NUM	1	30	86373	תּוֹלְדֹתָ֥ם	H8435	according to the records	
NUM	1	30	86374	לְמִשְׁפְּחֹתָ֖ם	H4940	of their clans	
NUM	1	30	86376	אֲבֹתָ֑ם	H1	and families	
NUM	1	30	86375	לְבֵ֣ית	H1004	. . .	,
NUM	1	30	86377	בְּמִסְפַּ֣ר	H4557	counting	
NUM	1	30	86378	שֵׁמֹ֗ת	H8034	the names	
NUM	1	30	86383	כֹּ֖ל	H3605	of all those	
NUM	1	30	86380	עֶשְׂרִ֤ים	H6242	twenty	
NUM	1	30	86379	מִבֶּ֨ן	H1121	years of age	
NUM	1	30	86381	שָׁנָה֙	H8141	. . .	
NUM	1	30	86382	וָמַ֔עְלָה	H4605	or older	
NUM	1	30	86384	יֹצֵ֥א	H3318	who could serve	
NUM	1	30	86385	צָבָֽא׃	H6635	in the army	,
NUM	1	31	86396	פְּקֻדֵיהֶ֖ם	H6485	those registered	
NUM	1	31	86397	לְמַטֵּ֣ה	H4294	to the tribe	
NUM	1	31	86398	זְבוּלֻ֑ן	H2074	of Zebulun	
NUM	1	31	86399	שִׁבְעָ֧ה	H7651	numbered 57,400	
NUM	1	31	86400	וַחֲמִשִּׁ֛ים	H2572	. . .	
NUM	1	31	86401	אֶ֖לֶף	H505	. . .	
NUM	1	31	86402	וְאַרְבַּ֥ע	H702	. . .	
NUM	1	31	86403	מֵאֽוֹת׃פ	H3967	. . .	.
NUM	1	32	86415	לִבְנֵ֤י	H1121	From the sons	
NUM	1	32	86416	יוֹסֵף֙	H3130	of Joseph	:
NUM	1	32	86417	לִבְנֵ֣י	H1121	From the sons	
NUM	1	32	86418	אֶפְרַ֔יִם	H669	of Ephraim	,
NUM	1	32	86419	תּוֹלְדֹתָ֥ם	H8435	according to the records	
NUM	1	32	86420	לְמִשְׁפְּחֹתָ֖ם	H4940	of their clans	
NUM	1	32	86422	אֲבֹתָ֑ם	H1	and families	
NUM	1	32	86421	לְבֵ֣ית	H1004	. . .	,
NUM	1	32	86423	בְּמִסְפַּ֣ר	H4557	counting	
NUM	1	32	86424	שֵׁמֹ֗ת	H8034	the names	
NUM	1	32	86429	כֹּ֖ל	H3605	of all those	
NUM	1	32	86426	עֶשְׂרִ֤ים	H6242	twenty	
NUM	1	32	86425	מִבֶּ֨ן	H1121	years of age	
NUM	1	32	86427	שָׁנָה֙	H8141	. . .	
NUM	1	32	86428	וָמַ֔עְלָה	H4605	or older	
NUM	1	32	86430	יֹצֵ֥א	H3318	who could serve	
NUM	1	32	86431	צָבָֽא׃	H6635	in the army	,
NUM	1	33	86442	פְּקֻדֵיהֶ֖ם	H6485	those registered	
NUM	1	33	86443	לְמַטֵּ֣ה	H4294	to the tribe	
NUM	1	33	86444	אֶפְרָ֑יִם	H669	of Ephraim	
NUM	1	33	86445	אַרְבָּעִ֥ים	H705	numbered 40,500	
NUM	1	33	86446	אֶ֖לֶף	H505	. . .	
NUM	1	33	86447	וַחֲמֵ֥שׁ	H2568	. . .	
NUM	1	33	86448	מֵאֽוֹת׃פ	H3967	. . .	.
NUM	1	34	86460	לִבְנֵ֣י	H1121	And from the sons	
NUM	1	34	86461	מְנַשֶּׁ֔ה	H4519	of Manasseh	,
NUM	1	34	86462	תּוֹלְדֹתָ֥ם	H8435	according to the records	
NUM	1	34	86463	לְמִשְׁפְּחֹתָ֖ם	H4940	of their clans	
NUM	1	34	86465	אֲבֹתָ֑ם	H1	and families	
NUM	1	34	86464	לְבֵ֣ית	H1004	. . .	,
NUM	1	34	86466	בְּמִסְפַּ֣ר	H4557	counting	
NUM	1	34	86467	שֵׁמ֗וֹת	H8034	the names	
NUM	1	34	86472	כֹּ֖ל	H3605	of all those	
NUM	1	34	86469	עֶשְׂרִ֤ים	H6242	twenty	
NUM	1	34	86468	מִבֶּ֨ן	H1121	years of age	
NUM	1	34	86470	שָׁנָה֙	H8141	. . .	
NUM	1	34	86471	וָמַ֔עְלָה	H4605	or older	
NUM	1	34	86473	יֹצֵ֥א	H3318	who could serve	
NUM	1	34	86474	צָבָֽא׃	H6635	in the army	,
NUM	1	35	86485	פְּקֻדֵיהֶ֖ם	H6485	those registered	
NUM	1	35	86486	לְמַטֵּ֣ה	H4294	to the tribe	
NUM	1	35	86487	מְנַשֶּׁ֑ה	H4519	of Manasseh	
NUM	1	35	86488	שְׁנַ֧יִם	H8147	numbered 32,200	
NUM	1	35	86489	וּשְׁלֹשִׁ֛ים	H7970	. . .	
NUM	1	35	86490	אֶ֖לֶף	H505	. . .	
NUM	1	35	86491	וּמָאתָֽיִם׃פ	H3967	. . .	.
NUM	1	36	86503	לִבְנֵ֣י	H1121	From the sons	
NUM	1	36	86504	בִנְיָמִ֔ן	H1144	of Benjamin	,
NUM	1	36	86505	תּוֹלְדֹתָ֥ם	H8435	according to the records	
NUM	1	36	86506	לְמִשְׁפְּחֹתָ֖ם	H4940	of their clans	
NUM	1	36	86508	אֲבֹתָ֑ם	H1	and families	
NUM	1	36	86507	לְבֵ֣ית	H1004	. . .	,
NUM	1	36	86509	בְּמִסְפַּ֣ר	H4557	counting	
NUM	1	36	86510	שֵׁמֹ֗ת	H8034	the names	
NUM	1	36	86515	כֹּ֖ל	H3605	of all those	
NUM	1	36	86512	עֶשְׂרִ֤ים	H6242	twenty	
NUM	1	36	86511	מִבֶּ֨ן	H1121	years of age	
NUM	1	36	86513	שָׁנָה֙	H8141	. . .	
NUM	1	36	86514	וָמַ֔עְלָה	H4605	or older	
NUM	1	36	86516	יֹצֵ֥א	H3318	who could serve	
NUM	1	36	86517	צָבָֽא׃	H6635	in the army	,
NUM	1	37	86528	פְּקֻדֵיהֶ֖ם	H6485	those registered	
NUM	1	37	86529	לְמַטֵּ֣ה	H4294	to the tribe	
NUM	1	37	86530	בִנְיָמִ֑ן	H1144	of Benjamin	
NUM	1	37	86531	חֲמִשָּׁ֧ה	H2568	numbered 35,400	
NUM	1	37	86532	וּשְׁלֹשִׁ֛ים	H7970	. . .	
NUM	1	37	86533	אֶ֖לֶף	H505	. . .	
NUM	1	37	86534	וְאַרְבַּ֥ע	H702	. . .	
NUM	1	37	86535	מֵאֽוֹת׃פ	H3967	. . .	.
NUM	1	38	86547	לִבְנֵ֣י	H1121	From the sons	
NUM	1	38	86548	דָ֔ן	H1835	of Dan	,
NUM	1	38	86549	תּוֹלְדֹתָ֥ם	H8435	according to the records	
NUM	1	38	86550	לְמִשְׁפְּחֹתָ֖ם	H4940	of their clans	
NUM	1	38	86552	אֲבֹתָ֑ם	H1	and families	
NUM	1	38	86551	לְבֵ֣ית	H1004	. . .	,
NUM	1	38	86553	בְּמִסְפַּ֣ר	H4557	counting	
NUM	1	38	86554	שֵׁמֹ֗ת	H8034	the names	
NUM	1	38	86559	כֹּ֖ל	H3605	of all those	
NUM	1	38	86556	עֶשְׂרִ֤ים	H6242	twenty	
NUM	1	38	86555	מִבֶּ֨ן	H1121	years of age	
NUM	1	38	86557	שָׁנָה֙	H8141	. . .	
NUM	1	38	86558	וָמַ֔עְלָה	H4605	or older	
NUM	1	38	86560	יֹצֵ֥א	H3318	who could serve	
NUM	1	38	86561	צָבָֽא׃	H6635	in the army	,
NUM	1	39	86572	פְּקֻדֵיהֶ֖ם	H6485	those registered	
NUM	1	39	86573	לְמַטֵּ֣ה	H4294	to the tribe	
NUM	1	39	86574	דָ֑ן	H1835	of Dan	
NUM	1	39	86575	שְׁנַ֧יִם	H8147	numbered 62,700	
NUM	1	39	86576	וְשִׁשִּׁ֛ים	H8346	. . .	
NUM	1	39	86577	אֶ֖לֶף	H505	. . .	
NUM	1	39	86578	וּשְׁבַ֥ע	H7651	. . .	
NUM	1	39	86579	מֵאֽוֹת׃פ	H3967	. . .	.
NUM	1	40	86591	לִבְנֵ֣י	H1121	From the sons	
NUM	1	40	86592	אָשֵׁ֔ר	H836	of Asher	,
NUM	1	40	86593	תּוֹלְדֹתָ֥ם	H8435	according to the records	
NUM	1	40	86594	לְמִשְׁפְּחֹתָ֖ם	H4940	of their clans	
NUM	1	40	86596	אֲבֹתָ֑ם	H1	and families	
NUM	1	40	86595	לְבֵ֣ית	H1004	. . .	,
NUM	1	40	86597	בְּמִסְפַּ֣ר	H4557	counting	
NUM	1	40	86598	שֵׁמֹ֗ת	H8034	the names	
NUM	1	40	86603	כֹּ֖ל	H3605	of all those	
NUM	1	40	86600	עֶשְׂרִ֤ים	H6242	twenty	
NUM	1	40	86599	מִבֶּ֨ן	H1121	years of age	
